mine,1,18.76,19.10,18.40,20.00,
mine,6,20.05,19.57,19.33,19.70,
mine,11,19.34,22.19,18.80,24.93,
mine,16,19.81,19.57,18.97,19.82,
mine,21,18.65,18.67,19.41,20.59,
mine,26,19.16,19.48,20.89,25.75,
mine,31,18.71,19.68,18.59,18.86,
mine,36,19.42,18.96,19.56,18.47,
mine,41,18.20,19.13,18.85,18.17,
mine,46,17.96,18.05,18.05,17.94,
mine,51,17.56,19.39,18.07,19.20,
mine,56,18.68,19.20,18.16,18.39,
mine,61,18.66,17.79,18.59,18.39,
mine,66,18.44,18.63,20.01,18.36,
other,118.17,17.99,18.57,23.96,
other,619.13,18.64,18.62,19.20,
other,11,19.05,18.60,18.75,18.55,
other,16,18.85,17.90,18.36,18.61,
other,21,18.22,18.17,17.75,18.23,
other,26,18.03,18.09,18.03,18.49,
other,31,17.67,18.19,18.37,18.52,
other,36,18.63,20.26,18.40,18.28,
other,41,18.39,17.85,17.82,18.23,
other,46,18.64,17.95,18.18,17.97,
other,51,18.92,18.24,18.54,18.70,
other,56,18.48,18.50,20.87,18.57,
other,61,18.07,18.74,18.91,19.25,
other,66,21.85,18.24,23.52,18.20,
